Codice Nazionale;Sigla Provincia;Denominazione Italiana;Denominazione Estera;Codice Catastale;Ufficio Catasto Terreni;Ufficio Catasto Fabbricati;Codice Conservatoria;Codice Istat;Data Costituzione;Attesa VCT Territorio;Attesa VCT Fabbricati
C845;PG;COLLAZZONE;;L1BA;PG;PG;PG00;054014;;;
C846;BN;COLLE SANNITA;;Q3BC;BN;BN;BN00;062025;;;
C847;SI;COLLE DI VAL D'ELSA;;I9AN;SI;SI;SI00;052012;;;
C848;TV;COLLE UMBERTO;;D5AY;TV;TV;TV00;026020;;;
C850;BS;COLLEBEATO;;C3DN;BS;BS;BS00;017057;;;
C851;LC;COLLE BRIANZA;;C4FU;LC;LC;LC00;097024;;;
C852;PR;COLLECCHIO;;H5AL;PR;PR;PR00;034009;;;
C853;PE;COLLECORVINO;;N3AR;PE;PE;PE00;068015;;;
C854;CB;COLLE D'ANCHISE;;P1BE;CB;CB;CB00;070020;;;
C855;CH;COLLEDIMACINE;;N2AZ;CH;CH;CH00;069025;;;
C856;CH;COLLEDIMEZZO;;N2BA;CH;CH;CH00;069026;;;
C857;RI;COLLE DI TORA;;M4AW;RI;RI;RI00;057019;;;
C858;RM;COLLEFERRO;;M1BQ;RM;RM;RM50;058034;;;
C859;RI;COLLEGIOVE;;M4AX;RI;RI;RI00;057020;;;
C860;TO;COLLEGNO;;A1EJ;TO;TO;TO20;001090;;;
C862;AQ;COLLELONGO;;N1BT;AQ;AQ;AQ00;066039;;;
C864;FR;COLLEPARDO;;M2BE;FR;FR;FR00;060028;;;
C865;LE;COLLEPASSO;;R4AW;LE;LE;LE00;075021;;;
C866;AQ;COLLEPIETRO;;N1BU;AQ;AQ;AQ00;066040;;;
C867;TO;COLLERETTO CASTELNUOVO;;A1EK;TO;TO;TO40;001091;;;
C868;TO;COLLERETTO GIACOSA;;A1EL;TO;TO;TO40;001092;;;
C869;LI;COLLESALVETTI;;I4AI;LI;LI;LI00;049008;;;
C870;FR;COLLE SAN MAGNO;;M2BF;FR;FR;FR00;060029;;;
C871;PA;COLLESANO;;U1BH;PA;PA;PA00;082032;;;
C872;BL;COLLE SANTA LUCIA;;D2AS;BL;BL;;025014;;;
C875;CB;COLLETORTO;;P1BF;CB;CB;CB00;070021;;;
C876;RI;COLLEVECCHIO;;M4AY;RI;RI;RI00;057021;;;
C877;AP;COLLI DEL TRONTO;;K2AS;AP;AP;AP00;044014;;;
C878;IS;COLLI A VOLTURNO;;P2AS;IS;IS;IS00;094017;;;
C879;SA;COLLIANO;;Q5BV;SA;SA;SA00;065043;;;
C880;RI;COLLI SUL VELINO;;M4AZ;RI;RI;RI00;057022;;;
C882;SU;COLLINAS;;V1BL;CA;CA;CA00;111012;;;
C883;BS;COLLIO;;C3DP;BS;BS;BS00;017058;;;
